DATE,DCOILWTICO
2020-04-27,12.17
2020-04-28,12.4
2020-04-29,15.04
2020-04-30,19.23
2020-05-01,19.72
2020-05-04,20.47
2020-05-05,24.56
2020-05-06,23.88
2020-05-07,23.68
2020-05-08,24.73
2020-05-11,24.02
2020-05-12,25.76
2020-05-13,25.37
2020-05-14,27.4
2020-05-15,29.44
2020-05-18,31.83
2020-05-19,32.3
2020-05-20,33.56
2020-05-21,34.3
2020-05-22,33.49
2020-05-25,.
2020-05-26,34.7
2020-05-27,32.8
2020-05-28,33.67
2020-05-29,35.57
2020-06-01,35.49
2020-06-02,36.88
2020-06-03,37.33
2020-06-04,37.42
2020-06-05,39.49
2020-06-08,38.17
2020-06-09,38.98
2020-06-10,39.54
2020-06-11,36.43
2020-06-12,36.24
2020-06-15,37.07
2020-06-16,38.26
2020-06-17,37.91
2020-06-18,38.79
2020-06-19,39.72
2020-06-22,40.6
2020-06-23,40.4
2020-06-24,37.91
2020-06-25,38.66
2020-06-26,38.53
2020-06-29,39.67
2020-06-30,39.27
2020-07-01,39.88
2020-07-02,40.57
2020-07-03,.
2020-07-06,40.51
2020-07-07,40.59
2020-07-08,40.91
2020-07-09,39.64
2020-07-10,40.56
2020-07-13,40.06
2020-07-14,40.3
2020-07-15,41.2
2020-07-16,40.74
2020-07-17,40.55
2020-07-20,40.83
2020-07-21,41.76
2020-07-22,41.88
2020-07-23,40.99
2020-07-24,41.23
2020-07-27,41.46
2020-07-28,40.89
2020-07-29,41.13
2020-07-30,39.85
2020-07-31,40.1
2020-08-03,40.83
2020-08-04,41.67
2020-08-05,42.25
2020-08-06,41.93
2020-08-07,41.16
2020-08-10,41.94
2020-08-11,41.53
2020-08-12,42.6
2020-08-13,42.26
2020-08-14,42.05
2020-08-17,42.89
2020-08-18,42.89
2020-08-19,42.91
2020-08-20,42.62
2020-08-21,42.32
2020-08-24,42.44
2020-08-25,43.17
2020-08-26,43.21
2020-08-27,42.88
2020-08-28,42.96
2020-08-31,42.61
2020-09-01,42.76
2020-09-02,42.76
2020-09-03,41.39
2020-09-04,39.69
2020-09-07,.
2020-09-08,36.87
2020-09-09,38.05
2020-09-10,37.25
2020-09-11,37.33
2020-09-14,37.23
2020-09-15,38.29
2020-09-16,40.17
2020-09-17,40.99
2020-09-18,41.09
2020-09-21,39.26
2020-09-22,39.55
2020-09-23,39.92
2020-09-24,40.11
2020-09-25,40.06
2020-09-28,40.47
2020-09-29,39.03
2020-09-30,40.05
2020-10-01,38.51
2020-10-02,36.9
2020-10-05,39.12
2020-10-06,40.52
2020-10-07,39.82
